"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"CRC.2382513",-4859281.60259521,8263.79342357009,431.388130614247,45294.3985614811,26367.0094727349,6546.23165045145,11786.8354993259,-5011.43617848889,-995.292188686218,-1869.86336474216,-4566.07326793364,-418.701224149262,-2432.92343288792,-758.417951709924,184.267313580974,-1996.75300013838,-1560.91234883215,13.2907916408828,-191.126901504023,254.690400896451
"CRC.2383018",-4818041.11702516,-25476.4757567195,-36477.9562266046,4492.77176039731,798.479064972274,-22610.3067451111,1517.81456189727,9457.93394620668,-14859.0566460609,-2133.29077612681,1494.69959425493,-3821.96197884071,840.45674298431,1868.15899933506,-7882.01084474781,1057.66327558836,2164.01751013448,866.035501646989,5938.60904584655,-41.6378454300313
"CRC.2383387",-4913607.43760344,-15344.4665093718,-30555.5937417495,6779.37013194799,-2664.28637452682,-19847.410288461,5954.88654993905,10604.7101940077,-12120.2117142929,-655.812606682979,1878.70344109577,-2632.48229791309,1937.95918423892,206.784083694445,-3205.64218826711,3303.57428307718,3346.46330218847,-431.125078672968,4366.02244099084,983.625988270359
"CRC.2383420",-5094176.95068485,36702.0942569037,2664.49317181607,-2139.00934183874,2721.88899790699,7660.1183805644,-826.919326215511,2282.9997126466,-2078.1234377007,668.118966978915,1605.01337531044,866.842303604368,-190.134264431309,1602.22640829631,-1400.13779585301,660.596630535441,-253.028802144286,196.894991514819,-134.013048184602,-109.900573851565
"CRC.2383555",-4892661.27708696,20555.0435796703,-15245.7535716189,32418.0346035075,34623.2181739063,2189.94634768008,8111.24678010522,-2539.44301176211,264.644557466556,-4910.7845330944,-2055.59478516069,944.076490921959,-1056.53424470584,-650.580525923911,1187.73983071183,-917.399917533746,-1530.65470898565,516.750805122338,478.073015466522,-159.910359273973
"CRC.2383730",-5094307.31908021,30050.7787798566,13812.1049020137,-1814.91120406563,462.925500266477,5386.08543905967,810.58735527956,2174.90969489031,-2045.2851126363,2340.70796336269,-1401.16720671523,-169.637695918297,-156.709107588019,680.381316385832,114.859422889196,-252.922762058728,-640.636508307995,252.128755975585,-226.707725761963,-169.875533859204
"CRC.2384076",-5106402.79043245,40918.4778879117,3767.87240878636,-5337.5536295217,953.129169216726,1799.31353625248,4775.75742934734,1834.18082100742,-5330.08252049252,1965.54179948138,1245.82292301247,1049.18996956178,462.78187074018,-906.711978431006,631.607085024398,-1644.75429306499,956.859238059726,-512.910255078483,-554.873492550678,-540.322944505441
"CRC.2384108",-4793766.94847604,61077.2537684015,-13240.4580312266,11859.0773126895,-8750.34714073506,-7833.8164576505,4035.13056016397,-983.859501380163,-1319.28878276961,138.173780553677,1535.73041526669,-6074.80787180365,9884.44642924848,-2001.86453480959,-861.309033550364,-4201.38068998069,2587.09178634807,-3003.81736158446,-6206.24427320745,5700.04356045008
"CRC.2384226",-5096473.05064001,26993.1641616075,7495.195202933,-2121.1633199396,877.812661221153,8872.15869247467,-2741.8583240609,1086.92875405938,-857.418568504514,1502.24656670383,-1025.80700253182,79.872929419253,2250.11366281723,-694.265729964545,-1327.79709248886,-704.700919769089,77.0844229854179,-769.473027353133,213.41905996191,-140.97548882737
"CRC.2384272",-4930102.82153599,44295.5063999227,-26407.41668594,-8069.3244486595,-558.368882251905,-18887.9364634229,9117.48188122042,489.329766642121,-6665.55339241028,1271.55572084557,-3760.53230654799,-1708.13850708208,-2558.49277602546,3489.76638174257,-2395.87799289148,-3280.60844103903,-24.9661447332185,873.75674440002,-4025.59005074138,3342.39092106856
"CRC.2384377",-5120231.74870511,17468.2990512099,3962.81241194524,3576.50717136441,-203.303427570928,8646.74516030314,-207.036329028376,2623.29425013687,-1816.21141137206,288.315974072948,916.969083083798,1233.28501730476,-199.978238002677,-1163.18681066684,-567.923524984187,-35.9624690291538,305.76344579873,-38.8478750206944,250.376103667353,-161.708732242535
"CRC.2384422",-5102348.10160344,-10035.9301715442,-6771.7438234216,-10125.1606793601,2441.8188534804,-3182.40747496067,556.519960294313,875.378974267644,-2607.03405478713,-716.056550187508,799.415178825835,376.404408923088,8.61043081312675,-1359.48636497703,2143.56745791535,-155.632220330908,961.270636572763,-648.570962613449,553.68488977844,-957.710193867709
"CRC.2384541",-4482727.73867891,-8256.7478453302,-41442.6151982962,55484.6769856119,30443.9704265081,6246.38469346033,-5416.5786759942,231.855247535838,7400.26722955932,-12964.4440201828,2080.53743629407,-2200.09753280033,3427.48591851233,-1952.86549794456,-4100.90247075412,6366.95100175638,9642.24415888108,-1521.74315576953,-4878.44798837652,1539.64773156066
"CRC.2384548",-4976257.4701589,-60727.9986750655,-14867.8932696259,-9802.09636624287,1877.31722225578,-2644.76696279441,-812.302821779238,1461.63113088776,924.65350211007,-2252.79393635974,1484.59116929611,2200.29594034813,-1701.54359573127,-1101.52930531029,2150.89601632965,-164.880852044926,574.77186019005,261.188453345023,-121.709860112747,-334.427714926525
"CRC.2384796",-5089728.48719875,2403.14141558304,-5552.31654747586,-8017.66016552419,2372.90218911393,598.756085333876,1442.9879858976,1365.98817934863,-1407.48863080886,-164.813750138941,1345.15182709812,1075.45792725188,182.135792743255,-1808.1911933487,674.103385433425,113.128995393637,956.004293088963,-341.432556913884,739.385647736088,-599.514655108059
"CRC.2386412",-5105557.46633693,28733.1618955977,-4469.97703441167,6213.6135173034,-2486.8870581792,-1908.04963038629,-4541.85796937224,1573.47284577154,3840.75627271146,-3053.03013165439,305.555592005247,1307.75798946052,53.0416832857317,-524.404753211516,-863.108949149943,-26.4553960326114,608.353797117055,575.775862819916,-300.190816973,156.715747174668
